id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,description,tags,contexts,instruments,instrumental,explicit,era
141,Tin Roof Mercy,Jonah Flint,blues,moody,0.40,76,0.27,0.48,0.72,Tin Roof Mercy by Jonah Flint is a moody blues track with weathered vocals and expressive guitar phrases grounded in an unhurried shuffle. Electric guitar and harmonica shape a sound designed for rainy evenings.,blues|moody|twelve-bar feel|expressive guitar|weathered vocals,rainy evenings|late-night reflection|slow drives,electric guitar|harmonica|upright piano|shuffle drums,false,false,1970s
142,Empty Pocket Shuffle,Mercy Rail,blues,playful,0.52,88,0.31,0.52,0.76,Empty Pocket Shuffle by Mercy Rail is a playful blues track with weathered vocals and expressive guitar phrases grounded in an unhurried shuffle. Electric guitar and harmonica shape a sound designed for late-night reflection.,blues|playful|twelve-bar feel|expressive guitar|weathered vocals,late-night reflection|slow drives|focused listening,electric guitar|harmonica|upright piano|shuffle drums,false,false,2020s
143,Tuesday Night Remedy,Briar James,blues,hopeful,0.48,84,0.35,0.56,0.58,Tuesday Night Remedy by Briar James is a hopeful blues track with weathered vocals and expressive guitar phrases grounded in an unhurried shuffle. Electric guitar and harmonica shape a sound designed for slow drives.,blues|hopeful|twelve-bar feel|expressive guitar|weathered vocals,slow drives|focused listening|rainy evenings,electric guitar|harmonica|upright piano|shuffle drums,false,false,1950s
144,Lantern in the Pines,Clara Fielding,folk,hopeful,0.35,90,0.64,0.37,0.89,Lantern in the Pines by Clara Fielding is a hopeful folk track with close-miked acoustic storytelling with natural textures and patient harmonies. Fingerpicked guitar and mandolin shape a sound designed for campfire evenings.,folk|hopeful|acoustic storytelling|close harmony|woodland warmth,campfire evenings|journaling|slow mornings,fingerpicked guitar|mandolin|upright bass|close harmonies,false,false,2010s
145,Small Town Astronomy,The Juniper Lines,folk,romantic,0.39,94,0.68,0.49,0.75,Small Town Astronomy by The Juniper Lines is a romantic folk track with close-miked acoustic storytelling with natural textures and patient harmonies. Fingerpicked guitar and mandolin shape a sound designed for journaling.,folk|romantic|acoustic storytelling|close harmony|woodland warmth,journaling|slow mornings|quiet road trips,fingerpicked guitar|mandolin|upright bass|close harmonies,false,false,2020s
146,Carry the Morning,Owen Vale,folk,focused,0.43,98,0.72,0.45,0.79,Carry the Morning by Owen Vale is a focused folk track with close-miked acoustic storytelling with natural textures and patient harmonies. Fingerpicked guitar and mandolin shape a sound designed for slow mornings.,folk|focused|acoustic storytelling|close harmony|woodland warmth,slow mornings|quiet road trips|campfire evenings,fingerpicked guitar|mandolin|upright bass|close harmonies,false,false,1960s
147,Cedar Smoke,Hearthside Atlas,folk,nostalgic,0.47,102,0.54,0.31,0.83,Cedar Smoke by Hearthside Atlas is a nostalgic folk track with close-miked acoustic storytelling with natural textures and patient harmonies. Fingerpicked guitar and mandolin shape a sound designed for quiet road trips.,folk|nostalgic|acoustic storytelling|close harmony|woodland warmth,quiet road trips|campfire evenings|journaling,fingerpicked guitar|mandolin|upright bass|close harmonies,false,false,2010s
148,Borrowed Field,Moss & Marrow,folk,happy,0.51,106,0.66,0.35,0.87,Borrowed Field by Moss & Marrow is a happy folk track with close-miked acoustic storytelling with natural textures and patient harmonies. Fingerpicked guitar and mandolin shape a sound designed for campfire evenings.,folk|happy|acoustic storytelling|close harmony|woodland warmth,campfire evenings|journaling|slow mornings,fingerpicked guitar|mandolin|upright bass|close harmonies,false,false,2020s
149,North Wind Postcard,Clara Fielding,folk,nostalgic,0.55,110,0.62,0.39,0.91,North Wind Postcard by Clara Fielding is a nostalgic folk track with close-miked acoustic storytelling with natural textures and patient harmonies. Fingerpicked guitar and mandolin shape a sound designed for journaling.,folk|nostalgic|acoustic storytelling|close harmony|woodland warmth,journaling|slow mornings|quiet road trips,fingerpicked guitar|mandolin|upright bass|close harmonies,false,false,1960s
150,Kitchen Window Hymn,The Juniper Lines,folk,relaxed,0.37,92,0.48,0.43,0.95,Kitchen Window Hymn by The Juniper Lines is a relaxed folk track with close-miked acoustic storytelling with natural textures and patient harmonies. Fingerpicked guitar and mandolin shape a sound designed for slow mornings.,folk|relaxed|acoustic storytelling|close harmony|woodland warmth,slow mornings|quiet road trips|campfire evenings,fingerpicked guitar|mandolin|upright bass|close harmonies,false,false,2010s
151,Wild Finch Road,Owen Vale,folk,hopeful,0.49,104,0.52,0.47,0.99,Wild Finch Road by Owen Vale is a hopeful folk track with close-miked acoustic storytelling with natural textures and patient harmonies. Fingerpicked guitar and mandolin shape a sound designed for quiet road trips.,folk|hopeful|acoustic storytelling|close harmony|woodland warmth,quiet road trips|campfire evenings|journaling,fingerpicked guitar|mandolin|upright bass|close harmonies,false,false,2020s
152,Where the Creek Turns,Hearthside Atlas,folk,nostalgic,0.45,100,0.56,0.51,0.81,Where the Creek Turns by Hearthside Atlas is a nostalgic folk track with close-miked acoustic storytelling with natural textures and patient harmonies. Fingerpicked guitar and mandolin shape a sound designed for campfire evenings.,folk|nostalgic|acoustic storytelling|close harmony|woodland warmth,campfire evenings|journaling|slow mornings,fingerpicked guitar|mandolin|upright bass|close harmonies,false,false,1960s
153,Call Me at Blue,Cobalt Rose,r&b,romantic,0.47,70,0.68,0.62,0.36,Call Me at Blue by Cobalt Rose is a romantic r&b track with silky vocal layers and spacious harmony riding a patient pocket. Electric piano and sub bass shape a sound designed for late-night unwinding.,r&b|romantic|silky vocals|slow groove|warm harmony,late-night unwinding|quiet connection|slow dancing,electric piano|sub bass|finger snaps|layered vocals,false,false,2010s
154,Slow Motion Honest,Theo August,r&b,relaxed,0.51,74,0.72,0.74,0.22,Slow Motion Honest by Theo August is a relaxed r&b track with silky vocal layers and spacious harmony riding a patient pocket. Electric piano and sub bass shape a sound designed for quiet connection.,r&b|relaxed|silky vocals|slow groove|warm harmony,quiet connection|slow dancing|date-night ambience,electric piano|sub bass|finger snaps|layered vocals,false,false,2020s
155,After the Last Train,Luna Saye,r&b,romantic,0.55,78,0.76,0.70,0.26,After the Last Train by Luna Saye is a romantic r&b track with silky vocal layers and spacious harmony riding a patient pocket. Electric piano and sub bass shape a sound designed for slow dancing.,r&b|romantic|silky vocals|slow groove|warm harmony,slow dancing|date-night ambience|late-night unwinding,electric piano|sub bass|finger snaps|layered vocals,false,false,1990s
156,Honeyed Silence,The Velvet Standard,r&b,romantic,0.59,82,0.58,0.56,0.30,Honeyed Silence by The Velvet Standard is a romantic r&b track with silky vocal layers and spacious harmony riding a patient pocket. Electric piano and sub bass shape a sound designed for date-night ambience.,r&b|romantic|silky vocals|slow groove|warm harmony,date-night ambience|late-night unwinding|quiet connection,electric piano|sub bass|finger snaps|layered vocals,false,false,2010s
157,Room for Two,Imani Vale,r&b,energetic,0.63,86,0.70,0.60,0.34,Room for Two by Imani Vale is an energetic r&b track with silky vocal layers and spacious harmony riding a patient pocket. Electric piano and sub bass shape a sound designed for late-night unwinding.,r&b|energetic|silky vocals|slow groove|warm harmony,late-night unwinding|quiet connection|slow dancing,electric piano|sub bass|finger snaps|layered vocals,false,false,2020s
158,Soft Focus Truth,Cobalt Rose,r&b,romantic,0.67,90,0.66,0.64,0.38,Soft Focus Truth by Cobalt Rose is a romantic r&b track with silky vocal layers and spacious harmony riding a patient pocket. Electric piano and sub bass shape a sound designed for quiet connection.,r&b|romantic|silky vocals|slow groove|warm harmony,quiet connection|slow dancing|date-night ambience,electric piano|sub bass|finger snaps|layered vocals,false,true,1990s
159,Sunday Night Signal,Theo August,r&b,focused,0.49,72,0.52,0.68,0.42,Sunday Night Signal by Theo August is a focused r&b track with silky vocal layers and spacious harmony riding a patient pocket. Electric piano and sub bass shape a sound designed for slow dancing.,r&b|focused|silky vocals|slow groove|warm harmony,slow dancing|date-night ambience|late-night unwinding,electric piano|sub bass|finger snaps|layered vocals,false,false,2010s
160,Warm Side of Midnight,Luna Saye,r&b,happy,0.61,84,0.56,0.72,0.46,Warm Side of Midnight by Luna Saye is a happy r&b track with silky vocal layers and spacious harmony riding a patient pocket. Electric piano and sub bass shape a sound designed for date-night ambience.,r&b|happy|silky vocals|slow groove|warm harmony,date-night ambience|late-night unwinding|quiet connection,electric piano|sub bass|finger snaps|layered vocals,false,false,2020s
161,Stay Until the Rain,The Velvet Standard,r&b,melancholy,0.57,80,0.60,0.76,0.28,Stay Until the Rain by The Velvet Standard is a melancholy r&b track with silky vocal layers and spacious harmony riding a patient pocket. Electric piano and sub bass shape a sound designed for late-night unwinding.,r&b|melancholy|silky vocals|slow groove|warm harmony,late-night unwinding|quiet connection|slow dancing,electric piano|sub bass|finger snaps|layered vocals,false,false,1990s
162,The Get-Down Clause,The Brass Habit,funk,energetic,0.71,102,0.88,0.84,0.17,The Get-Down Clause by The Brass Habit is an energetic funk track with a rubbery bass pocket and clipped rhythm guitar accented by bright brass. Slap bass and rhythm guitar shape a sound designed for party arrivals.,funk|energetic|syncopated bass|brass punches|dance-floor pocket,party arrivals|cooking with friends|mood boosts,slap bass|rhythm guitar|horn section|tight drums,false,false,1990s
163,Mustard Jacket,Velvet Sidewalk,funk,happy,0.75,106,0.92,0.96,0.03,Mustard Jacket by Velvet Sidewalk is a happy funk track with a rubbery bass pocket and clipped rhythm guitar accented by bright brass. Slap bass and rhythm guitar shape a sound designed for cooking with friends.,funk|happy|syncopated bass|brass punches|dance-floor pocket,cooking with friends|mood boosts|dance breaks,slap bass|rhythm guitar|horn section|tight drums,false,false,2020s
164,Groove Receipt,Solar Mustache,funk,playful,0.79,110,0.96,0.92,0.07,Groove Receipt by Solar Mustache is a playful funk track with a rubbery bass pocket and clipped rhythm guitar accented by bright brass. Slap bass and rhythm guitar shape a sound designed for mood boosts.,funk|playful|syncopated bass|brass punches|dance-floor pocket,mood boosts|dance breaks|party arrivals,slap bass|rhythm guitar|horn section|tight drums,false,false,1970s
165,Elevator Boogie,Rhythm Department,funk,energetic,0.83,114,0.78,0.78,0.11,Elevator Boogie by Rhythm Department is an energetic funk track with a rubbery bass pocket and clipped rhythm guitar accented by bright brass. Slap bass and rhythm guitar shape a sound designed for dance breaks.,funk|energetic|syncopated bass|brass punches|dance-floor pocket,dance breaks|party arrivals|cooking with friends,slap bass|rhythm guitar|horn section|tight drums,false,false,1990s
166,Fresh Socks Friday,Professor Pocket,funk,happy,0.87,118,0.90,0.82,0.15,Fresh Socks Friday by Professor Pocket is a happy funk track with a rubbery bass pocket and clipped rhythm guitar accented by bright brass. Slap bass and rhythm guitar shape a sound designed for party arrivals.,funk|happy|syncopated bass|brass punches|dance-floor pocket,party arrivals|cooking with friends|mood boosts,slap bass|rhythm guitar|horn section|tight drums,true,false,2020s
167,Turn Signal Funk,The Brass Habit,funk,relaxed,0.91,122,0.86,0.86,0.19,Turn Signal Funk by The Brass Habit is a relaxed funk track with a rubbery bass pocket and clipped rhythm guitar accented by bright brass. Slap bass and rhythm guitar shape a sound designed for cooking with friends.,funk|relaxed|syncopated bass|brass punches|dance-floor pocket,cooking with friends|mood boosts|dance breaks,slap bass|rhythm guitar|horn section|tight drums,false,false,1970s
168,Basement Roller,Velvet Sidewalk,funk,euphoric,0.73,104,0.72,0.90,0.23,Basement Roller by Velvet Sidewalk is an euphoric funk track with a rubbery bass pocket and clipped rhythm guitar accented by bright brass. Slap bass and rhythm guitar shape a sound designed for mood boosts.,funk|euphoric|syncopated bass|brass punches|dance-floor pocket,mood boosts|dance breaks|party arrivals,slap bass|rhythm guitar|horn section|tight drums,false,false,1990s
169,Good Foot Forecast,Solar Mustache,funk,energetic,0.85,116,0.76,0.94,0.27,Good Foot Forecast by Solar Mustache is an energetic funk track with a rubbery bass pocket and clipped rhythm guitar accented by bright brass. Slap bass and rhythm guitar shape a sound designed for dance breaks.,funk|energetic|syncopated bass|brass punches|dance-floor pocket,dance breaks|party arrivals|cooking with friends,slap bass|rhythm guitar|horn section|tight drums,false,false,2020s
170,One More Strut,Rhythm Department,funk,playful,0.81,112,0.80,0.98,0.09,One More Strut by Rhythm Department is a playful funk track with a rubbery bass pocket and clipped rhythm guitar accented by bright brass. Slap bass and rhythm guitar shape a sound designed for party arrivals.,funk|playful|syncopated bass|brass punches|dance-floor pocket,party arrivals|cooking with friends|mood boosts,slap bass|rhythm guitar|horn section|tight drums,false,false,1970s
171,Open Door Rhythm,Civic Groove,house,uplifting,0.70,112,0.73,1.00,0.12,Open Door Rhythm by Civic Groove is an uplifting house track with a steady four-on-the-floor pulse with warm keys and a communal club lift. Drum machine and piano stabs shape a sound designed for dance floors.,house|uplifting|four-on-the-floor|piano stabs|club groove,dance floors|cardio sessions|sunset gatherings,drum machine|piano stabs|synth bass|vocal samples,false,false,1990s
172,Warehouse Sunrise,Mara Loop,house,focused,0.74,116,0.77,0.85,0.08,Warehouse Sunrise by Mara Loop is a focused house track with a steady four-on-the-floor pulse with warm keys and a communal club lift. Drum machine and piano stabs shape a sound designed for cardio sessions.,house|focused|four-on-the-floor|piano stabs|club groove,cardio sessions|sunset gatherings|late-night focus,drum machine|piano stabs|synth bass|vocal samples,true,false,2010s
173,Deep End Dancing,The Four Count,house,energetic,0.78,120,0.81,0.97,0.00,Deep End Dancing by The Four Count is an energetic house track with a steady four-on-the-floor pulse with warm keys and a communal club lift. Drum machine and piano stabs shape a sound designed for sunset gatherings.,house|energetic|four-on-the-floor|piano stabs|club groove,sunset gatherings|late-night focus|dance floors,drum machine|piano stabs|synth bass|vocal samples,false,false,2020s
174,Sunday Floor,Velvet Transit,house,happy,0.82,124,0.85,0.93,0.00,Sunday Floor by Velvet Transit is a happy house track with a steady four-on-the-floor pulse with warm keys and a communal club lift. Drum machine and piano stabs shape a sound designed for late-night focus.,house|happy|four-on-the-floor|piano stabs|club groove,late-night focus|dance floors|cardio sessions,drum machine|piano stabs|synth bass|vocal samples,false,false,1990s
175,Motion in Blue,Common Room DJ,house,euphoric,0.86,128,0.67,0.79,0.02,Motion in Blue by Common Room DJ is an euphoric house track with a steady four-on-the-floor pulse with warm keys and a communal club lift. Drum machine and piano stabs shape a sound designed for dance floors.,house|euphoric|four-on-the-floor|piano stabs|club groove,dance floors|cardio sessions|sunset gatherings,drum machine|piano stabs|synth bass|vocal samples,true,false,2010s
176,Keys After Midnight,Civic Groove,house,focused,0.90,132,0.79,0.83,0.06,Keys After Midnight by Civic Groove is a focused house track with a steady four-on-the-floor pulse with warm keys and a communal club lift. Drum machine and piano stabs shape a sound designed for cardio sessions.,house|focused|four-on-the-floor|piano stabs|club groove,cardio sessions|sunset gatherings|late-night focus,drum machine|piano stabs|synth bass|vocal samples,false,false,2020s
177,Common Pulse,Mara Loop,house,uplifting,0.94,136,0.75,0.87,0.10,Common Pulse by Mara Loop is an uplifting house track with a steady four-on-the-floor pulse with warm keys and a communal club lift. Drum machine and piano stabs shape a sound designed for sunset gatherings.,house|uplifting|four-on-the-floor|piano stabs|club groove,sunset gatherings|late-night focus|dance floors,drum machine|piano stabs|synth bass|vocal samples,false,false,1990s
178,Terrace Lights,The Four Count,house,energetic,0.76,118,0.61,0.91,0.14,Terrace Lights by The Four Count is an energetic house track with a steady four-on-the-floor pulse with warm keys and a communal club lift. Drum machine and piano stabs shape a sound designed for late-night focus.,house|energetic|four-on-the-floor|piano stabs|club groove,late-night focus|dance floors|cardio sessions,drum machine|piano stabs|synth bass|vocal samples,true,false,2010s
179,Stay in the Groove,Velvet Transit,house,happy,0.88,130,0.65,0.95,0.18,Stay in the Groove by Velvet Transit is a happy house track with a steady four-on-the-floor pulse with warm keys and a communal club lift. Drum machine and piano stabs shape a sound designed for dance floors.,house|happy|four-on-the-floor|piano stabs|club groove,dance floors|cardio sessions|sunset gatherings,drum machine|piano stabs|synth bass|vocal samples,false,false,2020s
180,Morning Comes in Four,Common Room DJ,house,intense,0.84,126,0.69,0.99,0.00,Morning Comes in Four by Common Room DJ is an intense house track with a steady four-on-the-floor pulse with warm keys and a communal club lift. Drum machine and piano stabs shape a sound designed for cardio sessions.,house|intense|four-on-the-floor|piano stabs|club groove,cardio sessions|sunset gatherings|late-night focus,drum machine|piano stabs|synth bass|vocal samples,false,false,1990s
181,Hold the Light,Amara Wells,soul,romantic,0.50,74,0.72,0.75,0.52,Hold the Light by Amara Wells is a romantic soul track with expressive lead vocals framed by gospel harmony and a warm live-band pocket. Hammond organ and horn section shape a sound designed for slow Sunday mornings.,soul|romantic|gospel harmony|expressive vocals|vintage warmth,slow sunday mornings|meaningful gatherings|romantic dinners,hammond organ|horn section|electric bass|gospel choir,false,false,1960s
182,Sunday Best Heart,The Kindred Sound,soul,uplifting,0.54,78,0.76,0.57,0.48,Sunday Best Heart by The Kindred Sound is an uplifting soul track with expressive lead vocals framed by gospel harmony and a warm live-band pocket. Hammond organ and horn section shape a sound designed for meaningful gatherings.,soul|uplifting|gospel harmony|expressive vocals|vintage warmth,meaningful gatherings|romantic dinners|restorative listening,hammond organ|horn section|electric bass|gospel choir,false,false,1970s
183,A Little More Mercy,Leon Harbor,soul,romantic,0.58,82,0.80,0.69,0.34,A Little More Mercy by Leon Harbor is a romantic soul track with expressive lead vocals framed by gospel harmony and a warm live-band pocket. Hammond organ and horn section shape a sound designed for romantic dinners.,soul|romantic|gospel harmony|expressive vocals|vintage warmth,romantic dinners|restorative listening|slow sunday mornings,hammond organ|horn section|electric bass|gospel choir,false,false,2020s
184,Golden Hour Promise,Ruby Maren,soul,happy,0.62,86,0.84,0.65,0.38,Golden Hour Promise by Ruby Maren is a happy soul track with expressive lead vocals framed by gospel harmony and a warm live-band pocket. Hammond organ and horn section shape a sound designed for restorative listening.,soul|happy|gospel harmony|expressive vocals|vintage warmth,restorative listening|slow sunday mornings|meaningful gatherings,hammond organ|horn section|electric bass|gospel choir,false,false,1960s
185,Truth in Your Hands,South Street Assembly,soul,romantic,0.66,90,0.66,0.51,0.42,Truth in Your Hands by South Street Assembly is a romantic soul track with expressive lead vocals framed by gospel harmony and a warm live-band pocket. Hammond organ and horn section shape a sound designed for slow Sunday mornings.,soul|romantic|gospel harmony|expressive vocals|vintage warmth,slow sunday mornings|meaningful gatherings|romantic dinners,hammond organ|horn section|electric bass|gospel choir,false,false,1970s
186,Home in the Chorus,Amara Wells,soul,happy,0.70,94,0.78,0.55,0.46,Home in the Chorus by Amara Wells is a happy soul track with expressive lead vocals framed by gospel harmony and a warm live-band pocket. Hammond organ and horn section shape a sound designed for meaningful gatherings.,soul|happy|gospel harmony|expressive vocals|vintage warmth,meaningful gatherings|romantic dinners|restorative listening,hammond organ|horn section|electric bass|gospel choir,false,false,2020s
187,Good Love Returning,The Kindred Sound,soul,romantic,0.74,98,0.74,0.59,0.50,Good Love Returning by The Kindred Sound is a romantic soul track with expressive lead vocals framed by gospel harmony and a warm live-band pocket. Hammond organ and horn section shape a sound designed for romantic dinners.,soul|romantic|gospel harmony|expressive vocals|vintage warmth,romantic dinners|restorative listening|slow sunday mornings,hammond organ|horn section|electric bass|gospel choir,false,false,1960s
188,Carry Me Kindly,Leon Harbor,soul,hopeful,0.56,80,0.60,0.63,0.54,Carry Me Kindly by Leon Harbor is a hopeful soul track with expressive lead vocals framed by gospel harmony and a warm live-band pocket. Hammond organ and horn section shape a sound designed for restorative listening.,soul|hopeful|gospel harmony|expressive vocals|vintage warmth,restorative listening|slow sunday mornings|meaningful gatherings,hammond organ|horn section|electric bass|gospel choir,false,false,1970s
189,Window Full of Morning,Ruby Maren,soul,happy,0.68,92,0.64,0.67,0.58,Window Full of Morning by Ruby Maren is a happy soul track with expressive lead vocals framed by gospel harmony and a warm live-band pocket. Hammond organ and horn section shape a sound designed for slow Sunday mornings.,soul|happy|gospel harmony|expressive vocals|vintage warmth,slow sunday mornings|meaningful gatherings|romantic dinners,hammond organ|horn section|electric bass|gospel choir,false,false,2020s
190,Still We Rise,South Street Assembly,soul,euphoric,0.64,88,0.68,0.71,0.40,Still We Rise by South Street Assembly is an euphoric soul track with expressive lead vocals framed by gospel harmony and a warm live-band pocket. Hammond organ and horn section shape a sound designed for meaningful gatherings.,soul|euphoric|gospel harmony|expressive vocals|vintage warmth,meaningful gatherings|romantic dinners|restorative listening,hammond organ|horn section|electric bass|gospel choir,false,false,1960s
191,Borrowed Megaphone,The Loose Bolts,punk,aggressive,0.77,154,0.50,0.59,0.12,Borrowed Megaphone by The Loose Bolts is an aggressive punk track with fast overdriven chords and shouted hooks delivered with unpolished momentum. Overdriven guitar and pick bass shape a sound designed for skate sessions.,punk|aggressive|fast guitars|shouted hooks|raw momentum,skate sessions|cathartic commutes|fast workouts,overdriven guitar|pick bass|fast drums|shouted vocals,false,false,1970s
192,Three Chords Late,Curbside Static,punk,intense,0.81,158,0.54,0.41,0.08,Three Chords Late by Curbside Static is an intense punk track with fast overdriven chords and shouted hooks delivered with unpolished momentum. Overdriven guitar and pick bass shape a sound designed for cathartic commutes.,punk|intense|fast guitars|shouted hooks|raw momentum,cathartic commutes|fast workouts|garage energy,overdriven guitar|pick bass|fast drums|shouted vocals,false,false,1990s
193,No Permission Slip,Minor Emergency,punk,aggressive,0.85,162,0.58,0.53,0.00,No Permission Slip by Minor Emergency is an aggressive punk track with fast overdriven chords and shouted hooks delivered with unpolished momentum. Overdriven guitar and pick bass shape a sound designed for fast workouts.,punk|aggressive|fast guitars|shouted hooks|raw momentum,fast workouts|garage energy|skate sessions,overdriven guitar|pick bass|fast drums|shouted vocals,false,true,2020s
194,Basement Deadline,Paper Barricade,punk,aggressive,0.89,166,0.62,0.49,0.00,Basement Deadline by Paper Barricade is an aggressive punk track with fast overdriven chords and shouted hooks delivered with unpolished momentum. Overdriven guitar and pick bass shape a sound designed for garage energy.,punk|aggressive|fast guitars|shouted hooks|raw momentum,garage energy|skate sessions|cathartic commutes,overdriven guitar|pick bass|fast drums|shouted vocals,false,false,1970s
195,Cheap Coffee Revolt,Lunch Break Riot,punk,moody,0.93,170,0.44,0.35,0.02,Cheap Coffee Revolt by Lunch Break Riot is a moody punk track with fast overdriven chords and shouted hooks delivered with unpolished momentum. Overdriven guitar and pick bass shape a sound designed for skate sessions.,punk|moody|fast guitars|shouted hooks|raw momentum,skate sessions|cathartic commutes|fast workouts,overdriven guitar|pick bass|fast drums|shouted vocals,false,false,1990s
196,Exit Through the Fence,The Loose Bolts,punk,intense,0.97,174,0.56,0.39,0.06,Exit Through the Fence by The Loose Bolts is an intense punk track with fast overdriven chords and shouted hooks delivered with unpolished momentum. Overdriven guitar and pick bass shape a sound designed for cathartic commutes.,punk|intense|fast guitars|shouted hooks|raw momentum,cathartic commutes|fast workouts|garage energy,overdriven guitar|pick bass|fast drums|shouted vocals,false,true,2020s
197,Loud Enough Now,Curbside Static,punk,aggressive,1.00,178,0.52,0.43,0.10,Loud Enough Now by Curbside Static is an aggressive punk track with fast overdriven chords and shouted hooks delivered with unpolished momentum. Overdriven guitar and pick bass shape a sound designed for fast workouts.,punk|aggressive|fast guitars|shouted hooks|raw momentum,fast workouts|garage energy|skate sessions,overdriven guitar|pick bass|fast drums|shouted vocals,false,false,1970s
198,Rules in the Rain,Minor Emergency,punk,energetic,0.83,160,0.38,0.47,0.14,Rules in the Rain by Minor Emergency is an energetic punk track with fast overdriven chords and shouted hooks delivered with unpolished momentum. Overdriven guitar and pick bass shape a sound designed for garage energy.,punk|energetic|fast guitars|shouted hooks|raw momentum,garage energy|skate sessions|cathartic commutes,overdriven guitar|pick bass|fast drums|shouted vocals,false,false,1990s
199,Fast Forward Failure,Paper Barricade,punk,playful,0.95,172,0.42,0.51,0.18,Fast Forward Failure by Paper Barricade is a playful punk track with fast overdriven chords and shouted hooks delivered with unpolished momentum. Overdriven guitar and pick bass shape a sound designed for skate sessions.,punk|playful|fast guitars|shouted hooks|raw momentum,skate sessions|cathartic commutes|fast workouts,overdriven guitar|pick bass|fast drums|shouted vocals,false,true,2020s
200,Start Again Screaming,Lunch Break Riot,punk,intense,0.91,168,0.46,0.55,0.00,Start Again Screaming by Lunch Break Riot is an intense punk track with fast overdriven chords and shouted hooks delivered with unpolished momentum. Overdriven guitar and pick bass shape a sound designed for cathartic commutes.,punk|intense|fast guitars|shouted hooks|raw momentum,cathartic commutes|fast workouts|garage energy,overdriven guitar|pick bass|fast drums|shouted vocals,false,false,1970s
